exchange,commodity,underlying,contract_month,strike,call_oi,put_oi,total_oi,call_volume,put_volume,total_volume,call_amount,put_amount,total_amount,price_wall_score
CZCE,CF,CF,2701,13400.0,58.0,218.0,276.0,24.0,98.0,122.0,372960.0,16170.0,389130.0,0.2275790576934042
CZCE,CF,CF,2701,13600.0,24.0,106.0,130.0,0.0,99.0,99.0,0.0,17820.0,17820.0,0.11111052376167341
CZCE,CF,CF,2701,13800.0,47.0,184.0,231.0,15.0,83.0,98.0,203775.0,16600.0,220375.0,0.20178724896105432
CZCE,CF,CF,2701,14000.0,106.0,1332.0,1438.0,0.0,38.0,38.0,0.0,9310.0,9310.0,0.27909580168016257
CZCE,CF,CF,2701,14200.0,65.0,1229.0,1294.0,0.0,67.0,67.0,0.0,17755.0,17755.0,0.28592780701268716
CZCE,CF,CF,2701,14400.0,65.0,1917.0,1982.0,0.0,55.0,55.0,0.0,16775.0,16775.0,0.34063262578700815
CZCE,CF,CF,2701,14600.0,105.0,1387.0,1492.0,0.0,321.0,321.0,0.0,107535.0,107535.0,0.40310455524695465
CZCE,CF,CF,2701,14800.0,95.0,2841.0,2936.0,0.0,465.0,465.0,0.0,181350.0,181350.0,0.5230464298611461
CZCE,CF,CF,2701,15000.0,73.0,3631.0,3704.0,0.0,632.0,632.0,0.0,300200.0,300200.0,0.5842080280608303
CZCE,CF,CF,2701,15200.0,90.0,2088.0,2178.0,0.0,283.0,283.0,0.0,158480.0,158480.0,0.45883447037527647
CZCE,CF,CF,2701,15400.0,946.0,2149.0,3095.0,1.0,396.0,397.0,6170.0,271260.0,277430.0,0.5302791182658594
CZCE,CF,CF,2701,15600.0,1084.0,4342.0,5426.0,1.0,418.0,419.0,5600.0,357390.0,362990.0,0.6019146458288056
CZCE,CF,CF,2701,15800.0,848.0,5990.0,6838.0,209.0,521.0,730.0,992750.0,575705.0,1568455.0,0.6885092120953195
CZCE,CF,CF,2701,16000.0,1450.0,1670.0,3120.0,521.0,298.0,819.0,2146520.0,444020.0,2590540.0,0.6205555090152142
CZCE,CF,CF,2701,16200.0,957.0,1045.0,2002.0,149.0,150.0,299.0,529695.0,283500.0,813195.0,0.48458100987421915
CZCE,CF,CF,2701,16400.0,770.0,573.0,1343.0,638.0,204.0,842.0,1891670.0,487560.0,2379230.0,0.5119810410487877
CZCE,CF,CF,2701,16600.0,1691.0,403.0,2094.0,265.0,142.0,407.0,707550.0,428130.0,1135680.0,0.5127211555703933
CZCE,CF,CF,2701,16800.0,1251.0,1032.0,2283.0,235.0,134.0,369.0,546375.0,487760.0,1034135.0,0.5167509075538728
CZCE,CF,CF,2701,17000.0,3604.0,531.0,4135.0,651.0,114.0,765.0,1308510.0,501600.0,1810110.0,0.642333481011403
CZCE,CF,CF,2701,17200.0,1889.0,584.0,2473.0,223.0,224.0,447.0,409205.0,1135680.0,1544885.0,0.5436159070043409
CZCE,CF,CF,2701,17400.0,2622.0,585.0,3207.0,298.0,131.0,429.0,469350.0,780760.0,1250110.0,0.5693877487251275
CZCE,CF,CF,2701,17600.0,867.0,294.0,1161.0,102.0,0.0,102.0,144330.0,0.0,144330.0,0.33846652783068804
CZCE,CF,CF,2701,17800.0,856.0,159.0,1015.0,101.0,0.0,101.0,125240.0,0.0,125240.0,0.31656966534751485
CZCE,CF,CF,2701,18000.0,4489.0,287.0,4776.0,343.0,1.0,344.0,361865.0,8400.0,370265.0,0.5785839055557254
CZCE,CF,CF,2701,18200.0,793.0,12.0,805.0,233.0,0.0,233.0,222515.0,0.0,222515.0,0.32794293401238395
CZCE,CF,CF,2701,18400.0,1044.0,25.0,1069.0,574.0,0.0,574.0,490770.0,0.0,490770.0,0.42658242181980144
CZCE,CF,CF,2701,18600.0,1174.0,8.0,1182.0,511.0,0.0,511.0,383250.0,0.0,383250.0,0.4298136121305225
CZCE,CF,CF,2701,18800.0,900.0,17.0,917.0,46.0,0.0,46.0,29670.0,0.0,29670.0,0.25340356976699024
CZCE,CF,CF,2701,19000.0,3265.0,718.0,3983.0,132.0,53.0,185.0,75900.0,691650.0,767550.0,0.5462778024883462
CZCE,CF,CF,2703,14800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043190154125083354
CZCE,CF,CF,2703,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043190154125083354
