trade_date,market_type,underlying,contract_month,underlying_price,call_wall,put_wall,price_wall,gex_flip,gamma_regime,net_gex,total_abs_gex,price_wall_distance,future_price_1d,future_price_3d,future_price_5d,future_return_1d,future_return_3d,future_return_5d,touch_call_wall,break_call_wall_1d,call_wall_reject_1d,touch_put_wall,break_put_wall_1d,put_wall_bounce_1d,near_price_wall,price_wall_magnet_1d,gamma_flip_cross_1d,next_abs_return_1d,next_abs_return_3d,next_abs_return_5d,event_quality
2026-07-20,COMMODITY,eb,2703,,,,10400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,eb,2704,,,,8200.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,eb,2705,,,,9400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,eb,2706,,,,6400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,eg,2609,,,,4500.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,eg,2610,,,,4600.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,eg,2611,,,,4650.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,eg,2612,,,,3600.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,eg,2701,,,,3600.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,eg,2702,,,,4600.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,eg,2703,,,,5400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,eg,2704,,,,5400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,eg,2705,,,,3700.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,eg,2706,,,,3600.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,fu,2608,,,,3750.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,fu,2609,,,,4000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,fu,2610,,,,3800.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,fu,2611,,,,4600.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,fu,2701,,,,3500.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,i,2609,,,,800.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,i,2610,,,,760.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,i,2611,,,,720.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,i,2612,,,,740.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,i,2701,,,,800.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
