trade_date,market_type,underlying,commodity,exchange,contract_month,underlying_price,call_wall,put_wall,call_oi_wall,put_oi_wall,max_gamma_strike,gex_flip,price_wall,net_gex,total_abs_gex,total_oi,total_volume,total_amount,call_gex_total,put_gex_abs_total,gex_ratio,call_gex_share,put_gex_share,call_wall_distance,put_wall_distance,price_wall_distance,gamma_regime
2026-07-13,COMMODITY,OI,OI,CZCE,2705,,,,10400.0,8600.0,,,8600.0,,,164.0,0.0,0.0,,,,,,,,,
2026-07-13,COMMODITY,PF,PF,CZCE,2608,,,,10000.0,6500.0,,,7200.0,,,14265.0,7112.0,688366.0,,,,,,,,,
2026-07-13,COMMODITY,PF,PF,CZCE,2609,,,,7800.0,6100.0,,,7400.0,,,2439.0,1420.0,488559.0,,,,,,,,,
2026-07-13,COMMODITY,PF,PF,CZCE,2610,,,,7800.0,6500.0,,,6500.0,,,998.0,361.0,127182.0,,,,,,,,,
2026-07-13,COMMODITY,PF,PF,CZCE,2611,,,,7100.0,6800.0,,,7100.0,,,9.0,0.0,0.0,,,,,,,,,
2026-07-13,COMMODITY,PK,PK,CZCE,2610,,,,9000.0,8100.0,,,9000.0,,,110726.0,37051.0,15029759.0,,,,,,,,,
2026-07-13,COMMODITY,PK,PK,CZCE,2611,,,,8800.0,8100.0,,,8800.0,,,21815.0,2165.0,1246177.0,,,,,,,,,
2026-07-13,COMMODITY,PK,PK,CZCE,2612,,,,9300.0,8100.0,,,9300.0,,,9080.0,992.0,510900.0,,,,,,,,,
2026-07-13,COMMODITY,PK,PK,CZCE,2701,,,,9400.0,7700.0,,,9000.0,,,218.0,12.0,2423.0,,,,,,,,,
2026-07-13,COMMODITY,PL,PL,CZCE,2608,,,,8000.0,7000.0,,,7500.0,,,684.0,80.0,20800.0,,,,,,,,,
2026-07-13,COMMODITY,PL,PL,CZCE,2609,,,,7100.0,6100.0,,,7800.0,,,582.0,33.0,53350.0,,,,,,,,,
2026-07-13,COMMODITY,PL,PL,CZCE,2610,,,,7000.0,6300.0,,,7100.0,,,117.0,17.0,87040.0,,,,,,,,,
2026-07-13,COMMODITY,PR,PR,CZCE,2608,,,,10000.0,5800.0,,,7300.0,,,1559.0,581.0,27326.0,,,,,,,,,
2026-07-13,COMMODITY,PR,PR,CZCE,2609,,,,7000.0,6400.0,,,6500.0,,,858.0,39.0,35820.0,,,,,,,,,
2026-07-13,COMMODITY,PR,PR,CZCE,2610,,,,7400.0,6000.0,,,6800.0,,,339.0,7.0,9420.0,,,,,,,,,
2026-07-13,COMMODITY,PR,PR,CZCE,2611,,,,6900.0,6400.0,,,6600.0,,,166.0,523.0,2912920.0,,,,,,,,,
2026-07-13,COMMODITY,PX,PX,CZCE,2609,,,,9000.0,7000.0,,,8000.0,,,46642.0,54230.0,22845209.0,,,,,,,,,
2026-07-13,COMMODITY,PX,PX,CZCE,2610,,,,10000.0,7200.0,,,8400.0,,,1780.0,432.0,243844.0,,,,,,,,,
2026-07-13,COMMODITY,PX,PX,CZCE,2611,,,,9500.0,7800.0,,,9500.0,,,649.0,0.0,0.0,,,,,,,,,
2026-07-13,COMMODITY,PX,PX,CZCE,2612,,,,7300.0,6600.0,,,7700.0,,,73.0,2.0,3655.0,,,,,,,,,
2026-07-13,COMMODITY,PX,PX,CZCE,2701,,,,9200.0,7500.0,,,7600.0,,,1035.0,26.0,32483.0,,,,,,,,,
2026-07-13,COMMODITY,RM,RM,CZCE,2608,,,,2400.0,2250.0,,,2325.0,,,95593.0,176160.0,11151335.0,,,,,,,,,
2026-07-13,COMMODITY,RM,RM,CZCE,2609,,,,2750.0,2200.0,,,2300.0,,,160439.0,65939.0,16925800.0,,,,,,,,,
2026-07-13,COMMODITY,RM,RM,CZCE,2611,,,,2650.0,2100.0,,,2150.0,,,4713.0,179.0,69355.0,,,,,,,,,
2026-07-13,COMMODITY,RM,RM,CZCE,2701,,,,2650.0,2200.0,,,2200.0,,,40196.0,6369.0,3377790.0,,,,,,,,,
2026-07-13,COMMODITY,RM,RM,CZCE,2703,,,,2500.0,2050.0,,,2050.0,,,5459.0,21.0,8895.0,,,,,,,,,
2026-07-13,COMMODITY,RM,RM,CZCE,2705,,,,2500.0,2075.0,,,2075.0,,,1285.0,9.0,5760.0,,,,,,,,,
2026-07-13,COMMODITY,SA,SA,CZCE,2608,,,,1120.0,1040.0,,,1080.0,,,238578.0,160982.0,19811610.0,,,,,,,,,
2026-07-13,COMMODITY,SA,SA,CZCE,2609,,,,1580.0,1100.0,,,1100.0,,,408051.0,111424.0,37346630.0,,,,,,,,,
2026-07-13,COMMODITY,SA,SA,CZCE,2610,,,,1300.0,1120.0,,,1300.0,,,6669.0,781.0,138520.0,,,,,,,,,
2026-07-13,COMMODITY,SA,SA,CZCE,2611,,,,1200.0,1160.0,,,1200.0,,,19727.0,6724.0,3228040.0,,,,,,,,,
2026-07-13,COMMODITY,SA,SA,CZCE,2612,,,,1020.0,1280.0,,,1020.0,,,157.0,146.0,373830.0,,,,,,,,,
2026-07-13,COMMODITY,SA,SA,CZCE,2701,,,,1560.0,1080.0,,,1560.0,,,12960.0,1054.0,385570.0,,,,,,,,,
2026-07-13,COMMODITY,SA,SA,CZCE,2703,,,,1200.0,1180.0,,,1300.0,,,791.0,582.0,1468050.0,,,,,,,,,
2026-07-13,COMMODITY,SA,SA,CZCE,2705,,,,1220.0,1060.0,,,1400.0,,,1238.0,1052.0,2946440.0,,,,,,,,,
2026-07-13,COMMODITY,SF,SF,CZCE,2608,,,,6000.0,5700.0,,,5900.0,,,33227.0,29978.0,2886030.0,,,,,,,,,
2026-07-13,COMMODITY,SF,SF,CZCE,2609,,,,6000.0,5700.0,,,5700.0,,,26390.0,7282.0,1620875.0,,,,,,,,,
2026-07-13,COMMODITY,SF,SF,CZCE,2610,,,,6300.0,5200.0,,,5600.0,,,1104.0,45.0,15045.0,,,,,,,,,
2026-07-13,COMMODITY,SF,SF,CZCE,2611,,,,6700.0,5000.0,,,5300.0,,,2326.0,369.0,53365.0,,,,,,,,,
2026-07-13,COMMODITY,SF,SF,CZCE,2612,,,,6400.0,5400.0,,,6100.0,,,115.0,38.0,15890.0,,,,,,,,,
2026-07-13,COMMODITY,SF,SF,CZCE,2701,,,,6000.0,5300.0,,,6000.0,,,643.0,57.0,29895.0,,,,,,,,,
2026-07-13,COMMODITY,SH,SH,CZCE,2608,,,,2000.0,1800.0,,,1900.0,,,168262.0,237854.0,37468995.0,,,,,,,,,
2026-07-13,COMMODITY,SH,SH,CZCE,2609,,,,2920.0,1900.0,,,2000.0,,,99148.0,42958.0,31281795.0,,,,,,,,,
