trade_date,market_type,source_file,underlying,name,code,expiry,contract_month,raw_strike,strike,option_type,last_price,bid_price,ask_price,bid_volume,ask_volume,volume,open_interest,oi_change,amount,prev_settle,open_price,high_price,low_price,iv,delta,gamma,vega,theta,rho,theoretical_price,moneyness,leverage,real_leverage,parse_error
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购7月10314,10011995,,7月,10314.0,10.314,call,0.0007,0.0003,0.0007,4.0,59.0,1360.0,8466.0,-680.0,11190.0,0.0013,0.0009,0.0012,0.0006,1e-06,0.0001,0.001,0.0,-0.0,0.0,0.0,-0.002097,11644.29,1.63,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽7月10314,10011996,,7月,10314.0,10.314,put,2.1658,2.1313,2.1769,1.0,1.0,26.0,306.0,-6.0,551104.0,2.068,2.0683,2.1678,1.9556,1e-06,-0.9999,0.001,0.0,0.0013,-0.0023,2.1528,0.002097,3.76,-3.76,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购8月7122,10012033,,8月,7122.0,7.122,call,1.0654,1.0438,1.0689,1.0,1.0,57.0,122.0,42.0,640354.0,1.1424,1.1202,1.15,1.0654,1e-06,0.867,0.1965,0.006,-0.0035,0.007,1.1445,0.0014449999999999999,7.65,6.63,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽8月7122,10012034,,8月,7122.0,7.122,put,0.058,0.0579,0.0586,2.0,1.0,7714.0,3515.0,-779.0,4208428.0,0.0488,0.0505,0.0626,0.0419,1e-06,-0.133,0.1965,0.006,-0.0026,-0.0014,0.0778,-0.0014449999999999999,140.53,-18.7,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购8月7250,10012053,,8月,7250.0,7.25,call,0.93,0.9314,0.9554,1.0,1.0,465.0,364.0,364.0,4697239.0,1.0393,1.009,1.0604,0.9157,1e-06,0.8363,0.2257,0.0069,-0.0039,0.0068,1.0402,0.001243,8.76,7.33,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽8月7250,10012062,,8月,7250.0,7.25,put,0.0756,0.0739,0.0756,2.0,1.0,9468.0,2403.0,2403.0,6542408.0,0.0623,0.0647,0.08,0.0377,1e-06,-0.1637,0.2257,0.0069,-0.003,-0.0017,0.1009,-0.001243,107.82,-17.65,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购8月7367,10012029,,8月,7367.0,7.367,call,0.8351,0.8346,0.8577,1.0,1.0,324.0,561.0,-16.0,2887663.0,0.9246,0.9339,0.9762,0.8051,1e-06,0.8051,0.2519,0.0077,-0.0042,0.0066,0.949,0.001064,9.76,7.86,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽8月7367,10012030,,8月,7367.0,7.367,put,0.0933,0.0922,0.0923,1.0,1.0,12954.0,10958.0,2566.0,11094020.0,0.077,0.0794,0.0998,0.065,1e-06,-0.1949,0.2519,0.0077,-0.0033,-0.002,0.126,-0.001064,87.36,-17.02,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购8月7500,10012054,,8月,7500.0,7.5,call,0.74,0.7272,0.7489,1.0,1.0,617.0,396.0,396.0,4811245.0,0.8077,0.8066,0.8334,0.7032,1e-06,0.7663,0.28,0.0086,-0.0046,0.0064,0.8504,0.0008680000000000001,11.01,8.44,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽8月7500,10012063,,8月,7500.0,7.5,put,0.1198,0.1167,0.1194,2.0,1.0,8133.0,1762.0,1762.0,8830597.0,0.0985,0.1004,0.1263,0.0825,1e-06,-0.2337,0.28,0.0086,-0.0036,-0.0024,0.1598,-0.0008680000000000001,68.04,-15.9,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购8月7613,10011969,,8月,7613.0,7.613,call,0.6414,0.6415,0.6614,1.0,1.0,272.0,912.0,-31.0,1901174.0,0.7332,0.7262,0.8029,0.5571,1e-06,0.7309,0.3018,0.0092,-0.0048,0.0061,0.7713,0.000707,12.71,9.29,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽8月7613,10011970,,8月,7613.0,7.613,put,0.1446,0.1425,0.1449,1.0,2.0,12700.0,11386.0,-1411.0,17027042.0,0.1198,0.1235,0.1536,0.1003,1e-06,-0.2691,0.3018,0.0092,-0.0039,-0.0028,0.193,-0.000707,56.37,-15.17,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购8月7750,10012055,,8月,7750.0,7.75,call,0.5403,0.5435,0.5612,1.0,1.0,846.0,484.0,484.0,4991792.0,0.6261,0.618,0.6338,0.5195,1e-06,0.6853,0.3246,0.0099,-0.0051,0.0058,0.6813,0.000517,15.09,10.34,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽8月7750,10012064,,8月,7750.0,7.75,put,0.1841,0.1804,0.1849,2.0,1.0,12362.0,1901.0,1901.0,20961965.0,0.1539,0.1579,0.1953,0.1422,1e-06,-0.3147,0.3246,0.0099,-0.0042,-0.0033,0.2393,-0.000517,44.27,-13.93,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购8月7859,10011887,,8月,7859.0,7.859,call,0.474,0.4735,0.4788,1.0,1.0,3259.0,6387.0,-557.0,16825869.0,0.5481,0.5465,0.5891,0.45,0.002523,0.7005,0.4922,0.0097,-0.0035,0.0062,0.6144,0.00037200000000000004,17.2,12.05,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽8月7859,10011896,,8月,7859.0,7.859,put,0.2161,0.216,0.2161,3.0,1.0,14932.0,10821.0,-1746.0,30470718.0,0.1852,0.1852,0.2329,0.1603,0.003281,-0.3346,0.3967,0.0102,-0.0035,-0.0035,0.2809,-0.00037200000000000004,37.72,-12.62,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购8月8000,10012056,,8月,8000.0,8.0,call,0.391,0.394,0.395,1.0,5.0,8180.0,3287.0,3287.0,33767984.0,0.4525,0.4436,0.4687,0.365,1e-06,0.5971,0.3538,0.0108,-0.0055,0.0051,0.5344,0.000189,20.85,12.45,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽8月8000,10012065,,8月,8000.0,8.0,put,0.276,0.276,0.2788,5.0,1.0,19937.0,3879.0,3879.0,51301652.0,0.2357,0.2387,0.2922,0.2003,1e-06,-0.4029,0.3538,0.0108,-0.0045,-0.0043,0.3411,-0.000189,29.53,-11.9,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购8月8104,10011888,,8月,8104.0,8.104,call,0.3442,0.3442,0.3445,4.0,1.0,14229.0,30776.0,-4225.0,52355765.0,0.3887,0.3866,0.4439,0.3115,0.0026780000000000003,0.5661,0.5252,0.011,-0.004,0.005,0.4801,5.7999999999999994e-05,23.68,13.41,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽8月8104,10011897,,8月,8104.0,8.104,put,0.3174,0.3173,0.326,2.0,1.0,21477.0,18496.0,-4034.0,64997634.0,0.2781,0.2785,0.343,0.2378,0.0032500000000000003,-0.4384,0.4335,0.011,-0.0037,-0.0046,0.3902,-5.7999999999999994e-05,25.68,-11.26,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购8月8250,10012057,,8月,8250.0,8.25,call,0.2678,0.2678,0.2705,32.0,1.0,32041.0,12609.0,12609.0,90017883.0,0.3079,0.3125,0.4509,0.2443,1e-06,0.5066,0.3646,0.0112,-0.0055,0.0044,0.4104,-0.00012,30.44,15.42,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽8月8250,10012066,,8月,8250.0,8.25,put,0.4004,0.3922,0.4,2.0,12.0,32780.0,11232.0,11232.0,120937743.0,0.3434,0.35,0.4215,0.2987,1e-06,-0.4934,0.3646,0.0112,-0.0045,-0.0053,0.4658,0.00012,20.36,-10.04,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购8月8350,10011889,,8月,8350.0,8.35,call,0.2263,0.2262,0.2301,2.0,1.0,9062.0,15917.0,-1168.0,22083777.0,0.2589,0.2636,0.2855,0.2049,0.00264,0.4355,0.5331,0.011,-0.0038,0.0039,0.3671,-0.00023799999999999998,36.02,15.69,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽8月8350,10011898,,8月,8350.0,8.35,put,0.4488,0.4454,0.4623,1.0,1.0,9836.0,11663.0,-353.0,42449540.0,0.3924,0.3955,0.4808,0.3522,0.0032520000000000005,-0.5449,0.4358,0.0111,-0.0036,-0.0058,0.522,0.00023799999999999998,18.16,-9.9,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购8月8500,10012058,,8月,8500.0,8.5,call,0.1741,0.1741,0.1744,3.0,2.0,20979.0,7084.0,7084.0,39533548.0,0.2002,0.2013,0.2291,0.1566,1e-06,0.4185,0.3571,0.0109,-0.0054,0.0037,0.3086,-0.00041100000000000007,46.82,19.59,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽8月8500,10012067,,8月,8500.0,8.5,put,0.5606,0.5446,0.5605,2.0,1.0,7335.0,2626.0,2626.0,37249058.0,0.4793,0.4905,0.5818,0.448,1e-06,-0.5815,0.3571,0.0109,-0.0043,-0.0063,0.6126,0.00041100000000000007,14.54,-8.46,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购8月8595,10011890,,8月,8595.0,8.595,call,0.1493,0.1492,0.1493,20.0,5.0,10446.0,19950.0,-1641.0,16211590.0,0.1699,0.1711,0.185,0.1301,0.0026989999999999996,0.3196,0.4733,0.01,-0.0034,0.0029,0.2754,-0.000517,54.59,17.45,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽8月8595,10011899,,8月,8595.0,8.595,put,0.6065,0.6023,0.6065,1.0,12.0,1957.0,9359.0,-511.0,11735239.0,0.5392,0.5531,0.6509,0.4881,0.003273,-0.6439,0.4071,0.0104,-0.0032,-0.0069,0.6739,0.000517,13.44,-8.65,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购8月8750,10012059,,8月,8750.0,8.75,call,0.1093,0.109,0.1096,1.0,2.0,10375.0,3023.0,3023.0,11843297.0,0.1252,0.1247,0.137,0.096,1e-06,0.3366,0.3337,0.0102,-0.005,0.003,0.2272,-0.000685,74.57,25.1,
